alias,name,section,owner
05_b_poly_2,05. 5-Б клас. Друга мова (Польська) (Гр. 2) (2026-2027),Середня школа • Спецкурс,martsinkovskiy@schoolgus.ukr.education
05_b_poly_1,05. 5-Б клас. Друга мова (Польська) (Гр. 1) (2026-2027),Середня школа • Спецкурс,martsinkovskiy@schoolgus.ukr.education
05_b_logic,05. 5-Б клас. Логіка (2026-2027),Середня школа • Спецкурс,martsinkovskiy@schoolgus.ukr.education
05_b_ethics,05. 5-Б клас. Основи християнської етики (2026-2027),Середня школа • Спецкурс,martsinkovskiy@schoolgus.ukr.education
05_b_sport,05. 5-Б клас. Фізична культура (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_art,05. 5-Б клас. Мистецтво (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_tech_2,05. 5-Б клас. Технології (Трудове) (Гр. 2) (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_tech_1,05. 5-Б клас. Технології (Трудове) (Гр. 1) (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_inf_2,05. 5-Б клас. Інформатика (Гр. 2) (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_inf_1,05. 5-Б клас. Інформатика (Гр. 1) (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_hist,05. 5-Б клас. Вступ до історії України (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_nature,05. 5-Б клас. Пізнаємо природу (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_math,05. 5-Б клас. Математика (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_eng_2,05. 5-Б клас. Англійська мова (Гр. 2) (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_eng_1,05. 5-Б клас. Англійська мова (Гр. 1) (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_world_lit,05. 5-Б клас. Зарубіжна література (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_ua_lit,05. 5-Б клас. Українська література (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
05_b_ua_lang,05. 5-Б клас. Українська мова (2026-2027),Середня школа,martsinkovskiy@schoolgus.ukr.education
